oripathologie;commentaire;auteur;fr;cn;ar;th;ro;pl;pt;ja;it;es;de;en;
claquement articulaire;Évaluer l'occlusion et les mouvements mandibulaires pour détecter un dysfonctionnement temporo-mandibulaire.;gpt4o;Évaluer l'occlusion et les mouvements mandibulaires pour détecter un dysfonctionnement temporo-mandibulaire.;评估咬合和下颌运动，检测颞下颌功能障碍。;تقييم الانسداد وحركات الفك السفلي للكشف عن الخلل الوظيفي الصدغي الفكي.;ประเมินการอุดกั้นและการเคลื่อนไหวของขากรรไกรล่างเพื่อตรวจหาความผิดปกติของข้อต่อขากรรไกร;Evaluați ocluzia și mișcările mandibulare pentru a detecta disfuncțiile temporomandibulare.;Ocena okluzji i ruchów żuchwy w celu wykrycia dysfunkcji stawu skroniowo-żuchwowego.;Avaliar a oclusão e os movimentos mandibulares para detetar a disfunção temporomandibular.;咬合と下顎運動を評価し、顎関節機能障害を検出する。;Valutare l'occlusione e i movimenti mandibolari per individuare la disfunzione temporo-mandibolare.;Evaluar la oclusión y los movimientos mandibulares para detectar una disfunción temporomandibular.;Beurteilen Sie die Okklusion und die Unterkieferbewegungen, um eine temporomandibuläre Dysfunktion zu erkennen.;Évaluer l'occlusion and the movements mandibular for détecter a dysfonctionnement temporo-mandibular.;
classe i d'angle;Occlusion normale, mais surveillez la croissance cranio-faciale et l'alignement dentaire.;gpt4o;Occlusion normale, mais surveillez la croissance cranio-faciale et l'alignement dentaire.;咬合正常，但要监测颅面生长和牙齿排列。;الإطباق الطبيعي، ولكن راقب نمو القحف والوجه ومحاذاة الأسنان.;การสบฟันปกติ แต่ควรติดตามการเจริญเติบโตของศีรษะและใบหน้า รวมถึงการจัดเรียงของฟัน;Ocluzie normală, dar monitorizarea creșterii craniofaciale și a alinierii dentare.;Normalna okluzja, ale monitorowanie wzrostu czaszkowo-twarzowego i ustawienia zębów.;Oclusão normal, mas monitorizar o crescimento craniofacial e o alinhamento dentário.;咬合は正常だが、頭蓋顎顔面の成長と歯並びを観察する。;Occlusione normale, ma monitorare la crescita cranio-facciale e l'allineamento dentale.;Oclusión normal, pero vigilar el crecimiento craneofacial y la alineación dental.;Normale Okklusion, aber achten Sie auf das kraniofaziale Wachstum und die Zahnausrichtung.;normal occlusion, mais surveillez the growth cranio-faciale and l'dental alignment.;
classe i d'angle encombrée;Planifier une expansion archiale pour résoudre l'encombrement.;gpt4o;Planifier une expansion archiale pour résoudre l'encombrement.;计划进行拱形扩建，以解决拥堵问题。;التخطيط لتوسعة قوسية لحل مشكلة الازدحام.;วางแผนการขยายพื้นที่จัดเก็บเอกสารเพื่อแก้ไขปัญหาความแออัด;Planificați o extindere arhială pentru a rezolva problema congestionării.;Zaplanuj archiwalną ekspansję, aby rozwiązać problem zatorów.;Planear uma expansão arquial para resolver o congestionamento.;混雑を解消するために、アーチの拡張を計画する。;Pianificare un'espansione archiettonica per risolvere la congestione.;Planificar una ampliación arcicial para resolver la congestión.;Planen Sie eine archiale Expansion, um den Stau aufzulösen.;Planifier a expansion archiale for résoudre l'space requirement.;
classe i squelettique idéale modérée;Classe I idéale, occlusion fonctionnelle équilibrée, surveillance régulière.;gpt4o;Classe I idéale, occlusion fonctionnelle équilibrée, surveillance régulière.;理想的 I 级，均衡的功能性闭塞，定期监测。;الفئة المثالية I، انسداد وظيفي متوازن، ومراقبة منتظمة.;การสบฟันแบบอุดมคติประเภทที่ 1 สมดุลและใช้งานได้ดี พร้อมการติดตามผลอย่างสม่ำเสมอ;Clasa I ideală, ocluzie funcțională echilibrată, monitorizare regulată.;Idealna klasa I, zrównoważona funkcjonalna okluzja, regularne monitorowanie.;Classe I ideal, oclusão funcional equilibrada, controlo regular.;理想的なクラスI、バランスのとれた機能的咬合、定期的なモニタリング。;Classe I ideale, occlusione funzionale bilanciata, monitoraggio regolare.;Clase I ideal, oclusión funcional equilibrada, control regular.;Ideale Klasse I, funktionell ausgewogene Okklusion, regelmäßige Überwachung.;class i ideal, occlusion fonctionnelle équilibrée, surveillance régulière.;
classe i squelettique modérée;Vérifier l'alignement dentaire et l'occlusion. surveillance de la croissance nécessaire.;gpt4o;Vérifier l'alignement dentaire et l'occlusion. surveillance de la croissance nécessaire.;检查牙齿排列和咬合情况。 需要进行生长监测。;التحقق من محاذاة الأسنان وانطباقها. مراقبة النمو المطلوبة.;ตรวจสอบการจัดเรียงฟันและการสบฟัน จำเป็นต้องติดตามการเจริญเติบโต;Verificarea alinierii dentare și a ocluziei. Este necesară monitorizarea creșterii.;Kontrola ustawienia zębów i zgryzu. Wymagane monitorowanie wzrostu.;Verificar o alinhamento e a oclusão dentária. É necessário um acompanhamento do crescimento.;歯並びと咬合をチェックし、成長を見守る。;Controllare l'allineamento dentale e l'occlusione. È necessario il monitoraggio della crescita.;Comprobación de la alineación dental y la oclusión. Es necesario controlar el crecimiento.;Überprüfen der Zahnstellung und der Okklusion. Wachstumskontrolle erforderlich.;Vérifier l'dental alignment and l'occlusion. surveillance of the growth nécessaire.;
classe ii d'angle;Malocclusion rétrognathie mand. nécessitant une correction fonctionnelle ou mécanique.;gpt4o;Malocclusion rétrognathie mand. nécessitant une correction fonctionnelle ou mécanique.;需要进行功能性或机械性矫正的强制性后牙合畸形。;سوء الإطباق الرجعي الإلزامي الذي يتطلب تصحيحاً وظيفياً أو ميكانيكياً.;ภาวะฟันล่างยื่นผิดปกติที่ต้องการการแก้ไขเชิงหน้าที่หรือเชิงกล;Malocluzie retrognatică obligatorie care necesită corecție funcțională sau mecanică.;Obowiązkowe wady zgryzu wymagające korekty funkcjonalnej lub mechanicznej.;Má oclusão retrognática obrigatória que requer correção funcional ou mecânica.;機能的または機械的矯正を必要とする、強制的な逆根性不正咬合。;Malocclusione retrognatica obbligatoria che richiede una correzione funzionale o meccanica.;Maloclusión retrognática obligatoria que requiere corrección funcional o mecánica.;Retrognathie mand. Malokklusion, die eine funktionelle oder mechanische Korrektur erfordert.;malocclusion retrognathy mand. nécessitant a correction fonctionnelle or mécanique.;
classe ii d'angle division 1 division 2 modérée sévère unilatérale;Planifiez une correction fonctionnelle pour équilibrer les déséquilibres unilatéraux.;gpt4o;Planifiez une correction fonctionnelle pour équilibrer les déséquilibres unilatéraux.;计划进行功能矫正，以平衡单侧失衡。;التخطيط لتصحيح وظيفي لموازنة الاختلالات الأحادية الجانب.;วางแผนการแก้ไขเชิงหน้าที่เพื่อปรับสมดุลความไม่สมดุลข้างเดียว;Planificați o corecție funcțională pentru a echilibra dezechilibrele unilaterale.;Zaplanuj korektę funkcjonalną, aby zrównoważyć jednostronne zaburzenia równowagi.;Planear uma correção funcional para equilibrar os desequilíbrios unilaterais.;片側の不均衡のバランスをとるために、機能的な矯正を計画する。;Pianificare una correzione funzionale per bilanciare gli squilibri unilaterali.;Planificar una corrección funcional para equilibrar los desequilibrios unilaterales.;Planen Sie eine funktionelle Korrektur, um einseitige Ungleichgewichte auszugleichen.;Planifiez a correction fonctionnelle for équilibrer the déséquilibres unilateral.;
classe ii squelettique;Surveillance de la croissance mandibulaire, envisager protraction maxillaire.;gpt4o;Surveillance de la croissance mandibulaire, envisager protraction maxillaire.;监测下颌生长，考虑上颌前突。;مراقبة نمو الفك الأسفل، والنظر في إطالة الفك العلوي.;ติดตามการเจริญเติบโตของขากรรไกรล่าง พิจารณาการยื่นของขากรรไกรบน;Monitorizați creșterea mandibulară, luați în considerare protracția maxilară.;Monitorowanie wzrostu żuchwy, rozważenie protrakcji szczęki.;Monitorizar o crescimento mandibular, considerar a protracção maxilar.;下顎の成長を観察し、上顎前突を考慮する。;Monitorare la crescita mandibolare, considerare la protrazione mascellare.;Controlar el crecimiento mandibular, considerar la protracción maxilar.;Überwachung des Unterkieferwachstums, Oberkieferprotraktion erwägen.;Surveillance of the growth mandibular, envisager protraction maxilla.;
classe iii d'angle;Modèle squelettique prognathe, souvent nécessite chirurgie orthognathique.;gpt4o;Modèle squelettique prognathe, souvent nécessite chirurgie orthognathique.;前牙骨骼模型，通常需要进行正颌手术。;نموذج الهيكل العظمي التقويمي، وغالباً ما يتطلب جراحة تقويم العظام.;รูปแบบโครงกระดูกที่ขากรรไกรยื่น ซึ่งมักต้องได้รับการผ่าตัดกระดูกขากรรไกร;Model scheletic prognatic, necesită adesea chirurgie ortognatică.;Prognatyczny model szkieletu, często wymaga operacji ortognatycznej.;Modelo esquelético prognático, requer frequentemente cirurgia ortognática.;前突性骨格モデルで、しばしば顎矯正手術が必要となる。;Modello scheletrico prognatico, spesso richiede la chirurgia ortognatica.;Modelo esquelético prognático, a menudo requiere cirugía ortognática.;Prognathisches Skelettmodell, erfordert oft orthognathe Chirurgie.;Modèle squelettique prognathe, souvent nécessite orthognathic surgery.;
classe iii d'angle modérée unilatérale;Considérer une expansion maxillaire ou camouflages dento-alvéolaires.;gpt4o;Considérer une expansion maxillaire ou camouflages dento-alvéolaires.;考虑进行上颌骨扩张或牙槽伪装。;النظر في توسيع الفك العلوي أو التمويه السنخي الأسناني.;พิจารณาการขยายกระดูกขากรรไกรบนหรือการพรางฟันและเหงือก;Luați în considerare expansiunea maxilară sau camuflajul dento-alveolar.;Rozważ rozbudowę szczęki lub kamuflaż zębowo-wyrostkowy.;Considerar a expansão maxilar ou a camuflagem dento-alveolar.;上顎拡大術または歯槽骨カモフラージュを検討する。;Considerare l'espansione mascellare o il camouflage dento-alveolare.;Considerar la expansión maxilar o el camuflaje dentoalveolar.;Ziehen Sie eine Kieferexpansion oder dentoalveoläre Camouflage in Betracht.;Considérer a expansion maxilla or camouflages dento-alvéolaires.;
consultation;Analyser l'occlusion, évaluer l'alignement et planifier le traitement orthodontique adapté.;gpt4o;Analyser l'occlusion, évaluer l'alignement et planifier le traitement orthodontique adapté.;分析咬合情况，评估牙齿排列，制定适当的正畸治疗计划。;تحليل الانسداد وتقييم المحاذاة وتخطيط العلاج التقويمي المناسب.;วิเคราะห์การสบฟัน ประเมินการจัดเรียงฟัน และวางแผนการรักษาทางทันตกรรมจัดฟันที่เหมาะสม;Analiza ocluziei, evaluarea alinierii și planificarea tratamentului ortodontic adecvat.;Analizować okluzję, oceniać wyrównanie i planować odpowiednie leczenie ortodontyczne.;Analisar a oclusão, avaliar o alinhamento e planear o tratamento ortodôntico adequado.;咬合を分析し、アライメントを評価し、適切な矯正治療を計画する。;Analizzare l'occlusione, valutare l'allineamento e pianificare un trattamento ortodontico adeguato.;Analizar la oclusión, evaluar la alineación y planificar el tratamiento de ortodoncia adecuado.;Die Okklusion analysieren, die Ausrichtung bewerten und eine geeignete kieferorthopädische Behandlung planen.;Analyser l'occlusion, évaluer l'alignment and planifier the traitement orthodontique adapté.;
contention;La contention stabilise les positions dentaires post-traitement.;gpt4o;La contention stabilise les positions dentaires post-traitement.;固位可稳定治疗后的牙齿位置。;يعمل التثبيت على استقرار أوضاع الأسنان بعد العلاج.;การรักษาความคงที่ช่วยรักษาตำแหน่งของฟันให้คงที่หลังการรักษา;Retenția stabilizează pozițiile dentare post-tratament.;Retencja stabilizuje pozycje zębów po leczeniu.;A retenção estabiliza as posições dentárias pós-tratamento.;保定により、治療後の歯列位置が安定します。;La ritenzione stabilizza le posizioni dentali post-trattamento.;La retención estabiliza las posiciones dentales tras el tratamiento.;Die Schiene stabilisiert die Zahnpositionen nach der Behandlung.;the restraint stabilise the positions dentaires post-traitement.;
contention amovible;Assure la stabilité post-traitement, nécessite un port régulier et suivi.;gpt4o;Assure la stabilité post-traitement, nécessite un port régulier et suivi.;确保治疗后的稳定性，需要定期佩戴和监测。;يضمن الاستقرار بعد العلاج، ويحتاج إلى ارتدائه بانتظام ومراقبته.;รับประกันความเสถียรหลังการรักษา ต้องสวมใส่และตรวจสอบอย่างสม่ำเสมอ;Asigură stabilitatea post-tratament, trebuie să fie purtat în mod regulat și monitorizat.;Zapewnia stabilność po zabiegu, wymaga regularnego noszenia i monitorowania.;Garante a estabilidade pós-tratamento, precisa de ser usado regularmente e monitorizado.;治療後の安定性を確保するため、定期的な装着とモニタリングが必要。;Assicura la stabilità post-trattamento, deve essere indossato regolarmente e monitorato.;Garantiza la estabilidad tras el tratamiento, debe llevarse con regularidad y controlarse.;Sorgt für Stabilität nach der Behandlung, erfordert regelmäßiges und nachfolgendes Tragen.;Assure the stabilité post-traitement, nécessite a port régulier and follow-up.;
contention amovible fixe;Préférer une contention fixe pour stabilité, surtout après traitement lingual.;gpt4o;Préférer une contention fixe pour stabilité, surtout après traitement lingual.;尤其是在舌侧治疗后，最好使用固定支架以保持稳定。;يفضل استخدام دعامة ثابتة لتحقيق الثبات، خاصةً بعد العلاج اللساني.;เลือกใช้อุปกรณ์ยึดติดแบบถาวรเพื่อความมั่นคง โดยเฉพาะหลังการรักษาแบบติดด้านใน;Preferați o orteză fixă pentru stabilitate, în special după tratamentul lingual.;Preferuj stały aparat ortodontyczny zapewniający stabilność, szczególnie po leczeniu językowym.;Preferir um aparelho fixo para estabilidade, especialmente após o tratamento lingual.;特に舌側治療の後は、安定性のために固定式矯正装置を使用する。;Preferire un apparecchio fisso per garantire la stabilità, soprattutto dopo il trattamento linguale.;Prefiera una férula fija para mayor estabilidad, especialmente después de un tratamiento lingual.;Bevorzugen Sie eine feste Schiene zur Stabilität, insbesondere nach einer Lingualbehandlung.;Préférer a restraint fixed for stabilité, surtout after traitement lingual.;
contention fixe;Assure la stabilité post-traitement en évitant les récidives orthodontiques.;gpt4o;Assure la stabilité post-traitement en évitant les récidives orthodontiques.;通过防止牙齿矫正复发，确保治疗后的稳定性。;يضمن الاستقرار بعد العلاج من خلال منع تكرار تقويم الأسنان.;รับประกันความเสถียรหลังการรักษาโดยการป้องกันการกลับคืนของปัญหาทางทันตกรรมจัดฟัน;Asigură stabilitatea post-tratament prin prevenirea recidivelor ortodontice.;Zapewnia stabilność po leczeniu, zapobiegając nawrotom ortodontycznym.;Garante a estabilidade pós-tratamento, prevenindo a recidiva ortodôntica.;矯正の再発を防ぐことで、治療後の安定性を確保します。;Assicura la stabilità post-trattamento prevenendo le recidive ortodontiche.;Garantiza la estabilidad postratamiento evitando la recidiva ortodóncica.;Sorgt für Stabilität nach der Behandlung, indem kieferorthopädische Rezidive vermieden werden.;Assure the stabilité post-traitement en évitant the récidives orthodontiques.;
contrôle;Évaluez l'alignement dentaire et ajustez les appareils si nécessaire.;gpt4o;Évaluez l'alignement dentaire et ajustez les appareils si nécessaire.;评估牙齿排列，必要时调整矫正器。;تقييم محاذاة الأسنان وتعديل الأجهزة إذا لزم الأمر.;ประเมินการจัดเรียงของฟันและปรับอุปกรณ์หากจำเป็น;Evaluarea alinierii dentare și ajustarea aparatelor, dacă este necesar.;Ocenić ustawienie zębów i w razie potrzeby dopasować aparaty.;Avaliar o alinhamento dentário e ajustar os aparelhos, se necessário.;歯並びを評価し、必要に応じて器具を調整する。;Valutare l'allineamento dentale e regolare gli apparecchi se necessario.;Evaluar la alineación dental y ajustar los aparatos si es necesario.;Beurteilen Sie die Zahnstellung und passen Sie die Zahnspange ggf. an.;Évaluez l'dental alignment and ajustez the appareils si nécessaire.;
croissance;Surveillez les pics de croissance pour ajuster le traitement orthodontique optimal.;gpt4o;Surveillez les pics de croissance pour ajuster le traitement orthodontique optimal.;监测生长高峰，调整最佳正畸治疗。;مراقبة قمم النمو لضبط العلاج التقويمي الأمثل لتقويم الأسنان.;ติดตามการเจริญเติบโตอย่างรวดเร็วเพื่อปรับการรักษาทางทันตกรรมที่เหมาะสม;Monitorizați vârfurile de creștere pentru a ajusta tratamentul ortodontic optim.;Monitorowanie szczytów wzrostu w celu dostosowania optymalnego leczenia ortodontycznego.;Monitorizar os picos de crescimento para ajustar o tratamento ortodôntico ideal.;成長のピークをモニターし、最適な矯正治療を調整する。;Monitorare i picchi di crescita per regolare il trattamento ortodontico ottimale.;Controlar los picos de crecimiento para ajustar el tratamiento ortodóncico óptimo.;Achten Sie auf Wachstumsspitzen, um die optimale kieferorthopädische Behandlung anzupassen.;Surveillez the pics of growth for ajuster the traitement orthodontique optimal.;
crowding;Correction du chevauchement nécessite expansion ou extraction pour alignement optimal.;gpt4o;Correction du chevauchement nécessite expansion ou extraction pour alignement optimal.;重叠校正需要扩展或提取，以达到最佳对齐效果。;يتطلب تصحيح التداخل التمدد أو الاستخراج لتحقيق المحاذاة المثلى.;การแก้ไขการทับซ้อนต้องใช้การขยายหรือการแยกเพื่อให้การจัดเรียงเป็นไปอย่างเหมาะสมที่สุด;Corectarea suprapunerii necesită expansiune sau extracție pentru o aliniere optimă.;Korekta nakładania się wymaga rozszerzenia lub wyciągnięcia w celu optymalnego wyrównania.;A correção da sobreposição requer expansão ou extração para um alinhamento ótimo.;オーバーラップ補正には、最適なアライメントを得るための拡張または抽出が必要である。;La correzione delle sovrapposizioni richiede l'espansione o l'estrazione per un allineamento ottimale.;La corrección del solapamiento requiere expansión o extracción para una alineación óptima.;Korrektur der Überlappung erfordert Expansion oder Extraktion zur optimalen Ausrichtung.;correction du overlap nécessite expansion or extraction for alignment optimal.;
céphalométrie;Analyse céphalométrique essentielle pour le diagnostic et le plan de traitement orthodontique.;gpt4o;Analyse céphalométrique essentielle pour le diagnostic et le plan de traitement orthodontique.;头颅测量分析对诊断和正畸治疗规划至关重要。;التحليل الرأسي ضروري للتشخيص وتخطيط علاج تقويم الأسنان.;การวิเคราะห์ซีฟาโลเมตริกที่จำเป็นสำหรับการวินิจฉัยและการวางแผนการรักษาทางทันตกรรมจัดฟัน;Analiza cefalometrică este esențială pentru diagnosticarea și planificarea tratamentului ortodontic.;Analiza cefalometryczna niezbędna do diagnozy i planowania leczenia ortodontycznego.;Análise cefalométrica essencial para o diagnóstico e o planeamento do tratamento ortodôntico.;診断と矯正治療計画に不可欠なセファロ分析。;L'analisi cefalometrica è essenziale per la diagnosi e la pianificazione del trattamento ortodontico.;El análisis cefalométrico es esencial para el diagnóstico y la planificación del tratamiento ortodóncico.;Kephalometrische Analyse, die für die Diagnose und den kieferorthopädischen Behandlungsplan wesentlich ist.;Analyse céphalométrique essentielle for the diagnostic and the plan of traitement orthodontique.;
céramique;Les brackets céramiques offrent une esthétique discrète, mais attention à la fragilité.;gpt4o;Les brackets céramiques offrent une esthétique discrète, mais attention à la fragilité.;陶瓷托架外观低调，但容易损坏。;توفر الأقواس السيراميك مظهراً رصيناً، ولكن احذر من الهشاشة.;เหล็กจัดฟันแบบเซรามิกมีความสวยงามที่ดูไม่สะดุดตา แต่ควรระวังความเปราะบางของมัน;Suporturile din ceramică oferă un aspect discret, dar atenție la fragilitate.;Zamki ceramiczne oferują dyskretny wygląd, ale należy uważać na ich kruchość.;Os brackets de cerâmica oferecem um aspeto discreto, mas cuidado com a sua fragilidade.;セラミック・ブラケットは目立たないが、壊れやすい。;I brackets in ceramica offrono un aspetto discreto, ma attenzione alla fragilità.;Los brackets cerámicos ofrecen un aspecto discreto, pero cuidado con la fragilidad.;Keramikbrackets bieten eine unauffällige Ästhetik, aber Vorsicht vor Zerbrechlichkeit.;the ceramic brackets offrent a aesthetics discrète, mais attention to the fragilité.;
ddm;Discrépanie dento-maxillaire : évaluer besoin d'expansion ou d'extraction pour alignement optimal.;gpt4o;Discrépanie dento-maxillaire : évaluer besoin d'expansion ou d'extraction pour alignement optimal.;牙颌面差异：评估是否需要扩容或拔牙，以达到最佳排列。;التباين بين الأسنان والفكين: تقييم الحاجة إلى التوسيع أو الاستخراج لتحقيق المحاذاة المثلى.;ความไม่สมดุลของขากรรไกรและกระดูกใบหน้า: ประเมินความจำเป็นในการขยายหรือถอนฟันเพื่อให้การจัดเรียงเป็นไปอย่างเหมาะสมที่สุด;Discrepanță dento-maxilară: evaluați nevoia de expansiune sau extracție pentru o aliniere optimă.;Rozbieżność zębowo-szczękowa: ocena potrzeby rozbudowy lub ekstrakcji w celu uzyskania optymalnego wyrównania.;Discrepância dento-maxilar: avaliar a necessidade de expansão ou extração para um alinhamento ótimo.;歯と顎の不一致：最適なアライメントを得るための拡大または抜歯の必要性を評価する。;Discrepanza dento-mascellare: valutare la necessità di espansione o estrazione per un allineamento ottimale.;Discrepancia dento-maxilar: evaluar la necesidad de expansión o extracción para una alineación óptima.;Dento-maxilläre Diskrepanie: Beurteilen Sie, ob eine Expansion oder Extraktion für eine optimale Ausrichtung erforderlich ist.;Discrépanie dento-maxilla : évaluer besoin d'expansion or d'extraction for alignment optimal.;
dent surnuméraire;Considérer une extraction si interférence occlusale. surveiller la croissance.;gpt4o;Considérer une extraction si interférence occlusale. surveiller la croissance.;如果出现咬合干扰，考虑拔牙。;النظر في الاستخراج في حالة تداخل الإطباق. مراقبة النمو.;พิจารณาการถอนฟันหากมีการซ้อนเกหรือขัดฟัน ติดตามการเจริญเติบโต;Luați în considerare extracția dacă există interferențe ocluzale. monitorizați creșterea.;Rozważyć ekstrakcję w przypadku ingerencji w zgryz. monitorować wzrost.;Considerar a extração se houver interferência oclusal. monitorizar o crescimento.;咬合干渉があれば抜歯を考慮する。;Considerare l'estrazione in caso di interferenza occlusale. monitorare la crescita.;Considerar la extracción si hay interferencia oclusal. vigilar el crecimiento.;Ziehen Sie eine Extraktion in Betracht, wenn eine okklusale Störung vorliegt. Überwachen Sie das Wachstum.;Considérer a extraction si interférence occlusale. monitor the growth.;
dentition mixte;Surveillez l'éruption des incisives et molaires permanentes pour un guidage adéquat.;gpt4o;Surveillez l'éruption des incisives et molaires permanentes pour un guidage adéquat.;监测恒切牙和臼齿的萌出情况，确保正确引导。;مراقبة بزوغ القواطع والضروس الدائمة لضمان التوجيه السليم.;ติดตามการขึ้นของฟันตัดและฟันกรามถาวรเพื่อให้คำแนะนำที่เหมาะสม;Monitorizați erupția incisivilor și molarilor permanenți pentru a asigura o orientare corectă.;Monitoruj wyrzynanie się stałych siekaczy i zębów trzonowych, aby zapewnić prawidłowe prowadzenie.;Monitorizar a erupção dos incisivos e molares permanentes para assegurar uma orientação adequada.;永久歯の切歯と臼歯の萌出を観察し、適切な誘導を確保する。;Monitorare l'eruzione degli incisivi e dei molari permanenti per garantire una guida corretta.;Vigilar la erupción de los incisivos y molares permanentes para garantizar una orientación adecuada.;Beobachten Sie den Durchbruch der bleibenden Schneide- und Backenzähne für eine angemessene Führung.;Surveillez l'rash some incisors and molaires permanentes for a guidage adéquat.;
dentition permanente;Surveillez l'alignement des dents pour éviter les malocclusions futures.;gpt4o;Surveillez l'alignement des dents pour éviter les malocclusions futures.;注意牙齿的排列，避免将来出现畸形。;انتبه إلى محاذاة الأسنان لتجنب سوء الإطباق في المستقبل.;ติดตามการเรียงตัวของฟันเพื่อป้องกันการสบฟันผิดปกติในอนาคต;Supravegheați alinierea dinților pentru a evita viitoarele malocluzii.;Kontroluj ustawienie zębów, aby uniknąć przyszłych wad zgryzu.;Manter-se atento ao alinhamento dos dentes para evitar futuras más oclusões.;将来的な不正咬合を避けるために、歯並びにも気を配りましょう。;Tenete d'occhio l'allineamento dei denti per evitare future malocclusioni.;Vigila la alineación de los dientes para evitar futuras maloclusiones.;Achten Sie auf die Ausrichtung der Zähne, um zukünftige Fehlstellungen zu vermeiden.;Surveillez l'tooth alignment for éviter the malocclusions futures.;
dentition temporaire;Surveille l'éruption et la résorption radiculaire pour détecter d'éventuels désalignements.;gpt4o;Surveille l'éruption et la résorption radiculaire pour détecter d'éventuels désalignements.;监测牙萌出和牙根吸收情况，以发现任何错位。;مراقبة النخور وارتشاف الجذور للكشف عن أي اختلالات.;ติดตามการงอกและการสลายตัวของรากฟันเพื่อตรวจหาความผิดปกติใดๆ;Monitorizează erupția și resorbția radiculară pentru a detecta orice nealiniere.;Monitoruje erupcję i resorpcję korzeni w celu wykrycia wszelkich nieprawidłowości.;Monitoriza a erupção e a reabsorção radicular para detetar quaisquer desalinhamentos.;萌出と歯根吸収をモニターし、ズレを検出する。;Monitora l'eruzione e il riassorbimento radicolare per rilevare eventuali disallineamenti.;Supervisa la erupción y la reabsorción radicular para detectar cualquier desalineación.;Überwacht den Durchbruch und die Wurzelresorption, um mögliche Fehlstellungen zu erkennen.;Surveille l'rash and the root resorption for détecter d'éventuels désalignements.;
dentition temporaire incluse;Surveille l'éruption. évalue l'espace et la résorption radiculaire pour éviter complications.;gpt4o;Surveille l'éruption. évalue l'espace et la résorption radiculaire pour éviter complications.;监测萌出情况，评估空间和牙根吸收情况，避免并发症。;مراقبة البثور. تقييم المساحة وارتشاف الجذور لتجنب المضاعفات.;เฝ้าระวังการงอกของฟัน ประเมินการยุบตัวของรากฟันและเนื้อเยื่อรอบฟันเพื่อหลีกเลี่ยงภาวะแทรกซ้อน;Monitorizați erupția. Evaluați spațiul și resorbția radiculară pentru a evita complicațiile.;Monitorowanie erupcji, ocena przestrzeni i resorpcji korzenia w celu uniknięcia powikłań.;Monitorizar a erupção e avaliar o espaço e a reabsorção radicular para evitar complicações.;萌出をモニターし、合併症を避けるためにスペースと歯根吸収を評価する。;Monitorare l'eruzione, valutare lo spazio e il riassorbimento radicolare per evitare complicazioni.;Controlar la erupción. Evaluar el espacio y la reabsorción radicular para evitar complicaciones.;Überwachen Sie den Ausbruch. Beurteilen Sie den Platzbedarf und die Wurzelresorption, um Komplikationen zu vermeiden.;Surveille l'rash. évalue l'space and the root resorption for éviter complications.;
diastème;Évaluer les causes du diastème. envisager contention ou fermeture orthodontique.;gpt4o;Évaluer les causes du diastème. envisager contention ou fermeture orthodontique.;评估造成畸形的原因。 考虑进行正畸保留或关闭。;تقييم أسباب الانبساط، والنظر في الاحتفاظ بتقويم الأسنان أو إغلاقه.;ประเมินสาเหตุของช่องว่างระหว่างฟันหน้า พิจารณาการรักษาด้วยการจัดฟันเพื่อคงสภาพหรือปิดช่องว่าง;Evaluați cauzele diastemei. Luați în considerare retenția sau închiderea ortodontică.;Ocenić przyczyny diastemy. Rozważyć ortodontyczną retencję lub zamknięcie.;Avaliar as causas do diastema e considerar a possibilidade de retenção ou encerramento ortodôntico.;顎裂隙の原因を評価し、歯列矯正の保定または閉鎖を検討する。;Valutare le cause del diastema. Considerare la ritenzione o la chiusura ortodontica.;Evaluar las causas del diastema. Considerar la retención o cierre ortodóncico.;Beurteilen Sie die Ursachen des Diastemas. Ziehen Sie eine Schienung oder einen kieferorthopädischen Verschluss in Betracht.;Évaluer the causes du diastema. envisager restraint or fermeture orthodontique.;
distalisation;Optimise l'espace antérieur par distalisation molaire pour corriger l'encombrement.;gpt4o;Optimise l'espace antérieur par distalisation molaire pour corriger l'encombrement.;通过臼齿远端化优化前牙间隙，矫正拥挤。;يحسّن المساحة الأمامية عن طريق تقويم الضرس لتصحيح الازدحام.;ปรับพื้นที่ด้านหน้าให้เหมาะสมโดยการเคลื่อนฟันกรามไปทางด้านปลายเพื่อแก้ไขการซ้อนเก;Optimizează spațiul anterior prin distalizarea molarilor pentru a corecta înghesuiala.;Optymalizuje przestrzeń przednią poprzez dystalizację zębów trzonowych w celu skorygowania stłoczenia.;Optimiza o espaço anterior através da distalização dos molares para corrigir o apinhamento.;臼歯遠位化により前歯部のスペースを最適化し、叢生を矯正します。;Ottimizza lo spazio anteriore mediante la distalizzazione dei molari per correggere l'affollamento.;Optimiza el espacio anterior mediante la distalización molar para corregir el apiñamiento.;Optimiert den anterioren Raum durch molare Distalisierung, um die Engstände zu korrigieren.;Optimise l'space previous par molar distalization for corriger l'space requirement.;
