type;fr;en;de;es;it;ja;pt;pl;ro;th;ar;cn;# glossaire.csv V1.1.0 - 07/01/2026 12:41:28
pt;attache décollée;detached fastener;gelöste Klammer;cierre suelto;fissaggio staccato;脱着式ファスナー;fixador destacado;odłączony łącznik;închizător detașat;ตัวยึดที่หลวม;قفل منفصل;扣件;
pt;attaches;fasteners;Klammern;fijaciones;elementi di fissaggio;ファスナー;fixadores;elementy złączne;elemente de fixare;ตัวยึด;السحابات;紧固件;
pt;attaches céramiques;ceramic fasteners;Keramikbefestigungen;fijaciones cerámicas;elementi di fissaggio in ceramica;セラミック・ファスナー;fixadores de cerâmica;łączniki ceramiczne;elemente de fixare ceramice;ตัวยึดเซรามิก;مثبتات السيراميك;陶瓷紧固件;
pt;attaches décollées;loose fasteners;gelöste Fesseln;cierres sueltos;elementi di fissaggio allentati;緩み止め;fechos soltos;Luźne elementy złączne;elemente de fixare slăbite;ตัวยึดที่หลวม;مثبتات مفكوكة;松动的紧固件;
pt;attaches orthodontiques;orthodontic brackets;orthodontische Klammern;brackets de ortodoncia;staffe ortodontiche;歯列矯正ブラケット;brackets ortodônticos;zamki ortodontyczne;suporturi ortodontice;เหล็กจัดฟัน;أقواس تقويم الأسنان;正畸括号;
pt;attachesse;attachment;attachesse;archivo adjunto;attaccamento;添付ファイル;anexo;załącznik;atașament;ไฟล์แนบ;المرفق;附件;
pt;attachesses;attachesses;attachesses;adjuntos;allegati;付属品;anexos;załączniki;anexe;ผู้ช่วย;المرفقات;附件;
pt;avale mal;swallows poorly;schluckt schlecht;traga mal;deglutisce male;飲み込みが悪い;engole mal;źle połyka;înghite prost;กลืนลำบาก;يبتلع بشدة;吞咽困难;
pt;avaler;swallow;schlucken;tragar;inghiottire;飲み下す;engolir;jaskółka;înghiți;นกนางแอ่น;السنونو;吞咽;
pt;avalère;downstream;avalère;aguas abajo;a valle;ダウンストリーム;a jusante;niższego szczebla;în aval;ตะกละ;المصب;顺流而下;
pt;avalères;downstream;avalères;aguas abajo;a valle;ダウンストリーム;a jusante;niższego szczebla;în aval;ปลายน้ำ;المصب;顺流而下;
pt;avalers;avalers;Avalers;avalers;valanghe;紳士淑女;avaliadores;avalers;avalanșe;ผู้กลืน;أفالرز;否决权;
pt;avancée;advance;Fortschritt;avance;anticipo;前進;avanço;zaliczka;avans;ล่วงหน้า;مقدمًا;前进;
pt;avancées;advances;Fortschritte;avances;avanzamenti;進歩;avanços;postępy;avansuri;ความก้าวหน้า;التقدم;垫款;
pt;avancement;advancement;Aufstieg;avance;avanzamento;昇格;avanço;postęp;avansare;ความก้าวหน้า;التقدم;进步;
pt;avancement excessif;excessive advancement;übermäßiges Vorrücken;avance excesivo;avanzamento eccessivo;過度の前進;avanço excessivo;nadmierny postęp;avansare excesivă;ความก้าวหน้าเกินควร;التقدم المفرط;超前;
pt;avancemente;progress;Vorrücken;progreso;progresso;進歩;progresso;postęp;progresul;ความก้าวหน้า;التقدم;进展;
pt;avancementes;advances;Fortgeschrittene;avances;avanzamenti;進歩;avanços;postępy;avansuri;ความก้าวหน้า;التقدم;垫款;
pt;avancements;advances;Vorrückungen;avances;avanzamenti;進歩;avanços;postępy;avansuri;ความก้าวหน้า;التقدم;垫款;
pt;avancements excessifs;excessive advances;übermäßiges Vorrücken;anticipos excesivos;anticipi eccessivi;過剰な前借り;adiantamentos excessivos;nadmierne zaliczki;avansuri excesive;การจ่ายเงินล่วงหน้าเกินควร;السلف المفرطة;过高的预付款;
pt;avec diastèmes;with diastemas;mit Diastemen;con diastemas;con diastemi;拡張子あり;com diastemas;z diastemami;cu diastemă;มีช่องว่างระหว่างฟัน;بالدياستيمات;有腹胀;
pt;avec encombrement;with footprint;mit Platzbedarf;con huella;con impronta;フットプリント付き;com pegada;z footprintem;cu amprentă;พร้อมข้อกำหนดด้านพื้นที่;مع البصمة;带脚印;
pt;avec espaces;with spaces;mit Räumen;con espacios;con spazi;スペース付き;com espaços;ze spacjami;cu spații;มีช่องว่าง;بمساحات;有空格;
pt;avecs diastèmes;with diastemas;mitsamt Diastemen;con diastemas;con diastemi;拡張子あり;com diastemas;z diastemami;cu diastemă;มีช่องว่างระหว่างฟัน;بالدياستيمات;有腹胀;
pt;avecs encombrements;with congestion;mitsamtSperrgut;con congestión;con congestione;輻輳;com congestionamento;z zatorami;cu congestie;มีสิ่งกีดขวาง;مع الازدحام;拥堵;
pt;avecs espaces;with spaces;mitRäumen;con espacios;con spazi;スペース付き;com espaços;ze spacjami;cu spații;มีช่องว่าง;بمساحات;有空格;
pt;avulsion différée;delayed extraction;verzögerte Extraktion;extracción diferida;estrazione differita;延期抜歯;extração diferida;opóźniona awulsja;extracție amânată;การฉีกขาดล่าช้า;القلع المتأخر;延迟撕脱;
pt;avulsion immédiate;immediate extraction;sofortige Extraktion;extracción inmediata;estrazione immediata;即時抜歯;extração imediata;natychmiastowa awulsja;extracție imediată;การฉีกขาดทันที;قلع فوري;立即脱离;
pt;bactérienne;bacterial;bakteriell;bacteriana;batterico;バクテリア;bacteriana;bakteryjny;bacterian;แบคทีเรีย;جرثومي;细菌性;
pt;bague et anse;ring and handle;Ring und Henkel;anillo y asa;anello e maniglia;リングとハンドル;anel e pega;pierścień i uchwyt;inel și mâner;แหวนและด้ามจับ;حلقة ومقبض;环和柄;
pt;bague qui tombe;falling ring;Ring, der herunterfällt;anillo que cae;anello cadente;落下リング;anel em queda;spadający pierścień;inel de cădere;วงแหวนร่วง;خاتم السقوط;坠环;
pt;bagues ets anses;rings and handles;Ringe und Henkel;anillas y asas;anelli e maniglie;リングとハンドル;anéis e pegas;pierścienie i uchwyty;inele și mânere;แหวนและด้ามจับ;الحلقات والمقابض;环和把手;
pt;bagues quis tombes;rings that have fallen;Ringe quis Gräber;anillos que han caído;anelli caduti;落ちたリング;anéis que caíram;pierścienie, które spadły;inele care au căzut;แหวนหลุมศพ;الخواتم التي سقطت;陨环;
pt;bascule;scale;Wippe;escala;scala;スケール;escala;skala;scară;สวิตช์แบบโยก;المقياس;比例尺;
pt;basculement;changeover;Kippen;cambio;passaggio al digitale;チェンジオーバー;mudança;przejście;schimbare;การสลับ;التحويل;交接;
pt;basculemente;basculemente;basculemente;basculemente;basculemente;バスク;basculemente;basculemente;basculemente;การให้ทิป;باسكوليمينتي;基线;
pt;basculementes;tilting;kippt;basculante;inclinazione;ティルティング;inclinação;przechylanie;înclinare;เอียง;إمالة;倾斜;
pt;basculements;tilts;Umkippen;se inclina;inclinazione;ティルト;inclina-se;przechyły;se înclină;เอียง;يميل;倾斜;
pt;bascules;scales;Wippen;escalas;bilancia;体重計;balanças;wagi;cântare;เครื่องชั่งน้ำหนัก;المقاييس;规模;
pt;beance;beance;beance;beance;beanza;ビーンス;beance;beance;beance;ช่องว่าง;بينانس;雀跃;
pt;béance antérieure;anterior open bite;Frontzahnlücke;mordida abierta anterior;morso aperto anteriore;前歯部開咬;mordida aberta anterior;wgłębienie przednie;mușcătură deschisă anterioară;ช่องว่างด้านหน้า;الخواء الأمامي;前空;
pt;béance dentaire;open bite;Zahnlücke;mordida abierta;morso aperto;オープンバイト;mordida aberta;otwarte ugryzienie;mușcătură deschisă;ช่องว่างระหว่างฟัน;عضة مفتوحة;开放式咬合;
pt;béance latérale;lateral open bite;lateraler offener Biss;mordida abierta lateral;morso aperto laterale;側方開咬;mordida aberta lateral;wgłębienie boczne;mușcătură deschisă laterală;ช่องว่างด้านข้าง;الخواء الجانبي;侧面空洞;
pt;béance par interposition;gap by interposition;Interpositionslücke;brecha por interposición;lacuna per interposizione;間隙;lacuna por interposição;luka przez interpozycję;decalaj prin interpoziție;ช่องว่างโดยการแทรก;الفجوة عن طريق الإقحام;间隙;
pt;béance verticale;vertical open bite;vertikale Lücke;hueco vertical;gap verticale;垂直落差;fosso vertical;szczelina pionowa;decalaj vertical;ช่องว่างแนวตั้ง;الفجوة الرأسية;垂直间隙;
pt;beances;beances;beances;beances;beances;俤;beanças;beanse;beanțe;ช่องว่าง;الوعود;津贴;
pt;béances dentaires;gaps in the teeth;Zahnlücken;huecos en los dientes;spazi vuoti nei denti;歯の隙間;falhas nos dentes;luki w uzębieniu;goluri în dinți;ช่องว่างระหว่างฟัน;الثغرات في الأسنان;牙缝;
pt;béances pars interpositions;gaps through interpositions;Lücken durch Zwischenlagen;huecos mediante interposiciones;lacune attraverso interposizioni;間隙を縫って;lacunas através de interposições;luki dzięki interpozycjom;lacune prin interpoziții;ช่องว่างระหว่างชั้น;الثغرات من خلال التداخلات;通过穿插填补空白;
pt;beense;open bite;beense;beense;beense;ベッセ;beense;beense;beense;เคยไป;بيس;(三)......;
pt;béense;open bite;béense;beense;beense;ベッセ;beense;beense;beense;เบอนส์;بيس;(三)......;
pt;bénigne;benign;gutartig;benigno;benigno;良性;benigno;łagodny;benign;ไม่ร้ายแรง;حميدة;良性;
pt;bénignes;benign;gutartig;benigno;benigno;良性;benigno;łagodny;benign;ไม่ร้ายแรง;حميدة;良性;
pt;bicuspide;bicuspid;bikuspidal;bicúspide;bicuspide;そうぼう;bicúspide;dwupłatkowy;bicuspid;สองกรรไกร;بيسبيد;双尖;
pt;bicuspides;bicuspids;Bikuspiden;bicúspides;bicuspidi;そうぼう;bicúspides;bicuspids;bicuspide;ฟันกรามน้อย;بيسبيدس;双尖牙;
pt;bielle;connecting rod;Pleuelstange;biela;biella;コネクティングロッド;biela;korbowód;tijă de conectare;ก้านสูบ;قضيب التوصيل;连杆;
pt;bielle de herbst;herbst connecting rod;Herbst-Pleuelstange;biela herbst;biella herbst;ハーベストコネクティングロッド;biela herbst;korbowód herbst;bielă herbst;ก้านสูบเชื่อมต่อ Herbst;قضيب التوصيل هيربست;连杆;
pt;bielles des herbsts;herbsts rods;Herbststangen;barras de hierbas;aste per erboristeria;ハーブロッド;varas de herbsts;pręty herbsts;tije herbsts;ก้านสูบเชื่อมต่อ Herbst;قضبان الأعشاب;秸秆棒;
pt;biproalvéolie;biproalveolism;Biproalveolia;biproalveolismo;biproalveolismo;双アルベオリズム;biproalveolismo;biproalveolism;biproalveolism;ความเจริญรุ่งเรืองร่วมกัน;ثنائية الحويصلة الثنائية;双涎;
pt;bodily movement;bodily movement;Körperbewegung;movimiento corporal;movimento corporeo;たいどう;movimento do corpo;ruch ciała;mișcarea corporală;การเคลื่อนไหวของร่างกาย;الحركة الجسدية;动作;
pt;bodilys movements;bodily movements;bodilys movements;movimientos corporales;movimenti corporei;身のこなし;movimentos corporais;ruchy ciała;mișcări corporale;การเคลื่อนไหวของร่างกาย;الحركات الجسدية;动作;
pt;boîtiers orthodontiques;orthodontic braces;orthodontische Gehäuse;aparatos de ortodoncia;apparecchi ortodontici;歯列矯正;aparelhos ortodônticos;aparaty ortodontyczne;aparate ortodontice;เครื่องมือจัดฟัน;تقويم الأسنان;牙齿矫正器;
pt;bouche ouverte;open mouth;offener Mund;boca abierta;bocca aperta;かいこう;boca aberta;otwarte usta;gură deschisă;ปากเปิด;فم مفتوح;大口;
pt;bouche ouverte au repos;mouth open at rest;offener Mund in Ruhe;boca abierta en reposo;bocca aperta a riposo;安静時;boca aberta em repouso;otwarte usta w spoczynku;gura deschisă în repaus;ปากเปิดเมื่ออยู่นิ่ง;فم مفتوح عند السكون;张口;
pt;bouches ouvertes;open mouths;offene Münder;bocas abiertas;bocche aperte;口をあける;bocas abertas;otwarte usta;guri deschise;ปากอ้า;أفواه مفتوحة;张口;
pt;braces;braces;Braces;tirantes;bretelle;中括弧;aparelho ortodôntico;szelki;bretele;เหล็กดัดฟัน;الأقواس;大括号;
pt;bracesse;bracesse;bracesse;bracesse;bracesse;中括弧;bracejar;aparat ortodontyczny;bretele;เหล็กดัดฟัน;تقويم الأسنان;括号;
pt;bracesses;bracesses;bracesses;corchetes;bracessi;腕輪;braçadeiras;klamry;bretele;เหล็กดัดฟัน;الدعامات;手镯;
pt;bracket;bracket;bracket;soporte;staffa;ブラケット;suporte;wspornik;suport;วงเล็บ;قوس;支架;
pt;bracket décollé;detached bracket;abgelöstes Bracket;soporte separado;staffa staccata;取り外し可能なブラケット;suporte destacado;odłączony wspornik;suport detașat;วงเล็บหลวม;قوس منفصل;分离式支架;
pt;brackète;brackets;bracket;soportes;staffe;括弧;parênteses;wsporniki;paranteze;วงเล็บ;الأقواس;托架;
pt;brackètes;brackets;bracketes;soportes;staffe;括弧;parênteses;wsporniki;paranteze;วงเล็บ;الأقواس;托架;
pt;brackets;brackets;Brackets;soportes;parentesi;括弧;parênteses;wsporniki;paranteze;วงเล็บ;الأقواس;托架;
pt;brackets céramiques;ceramic brackets;Keramikbrackets;soportes cerámicos;staffe in ceramica;セラミックブラケット;suportes cerâmicos;wsporniki ceramiczne;suporturi ceramice;เหล็กดัดฟันแบบเซรามิก;أقواس من السيراميك;陶瓷支架;
pt;brackets décollés;loose brackets;abgehobene Brackets;soportes sueltos;staffe allentate;ルーズブラケット;suportes soltos;Luźne wsporniki;paranteze slăbite;วงเล็บเหลี่ยมหลวม;أقواس مفكوكة;松动的括号;
pt;bracketsse;bracketsse;bracketsse;bracketsse;staffe;ブラケット;parêntesesse;nawiasy;paranteze;วงเล็บ;الأقواس;括号;
pt;bracketsses;bracketsses;bracketsses;bracketsses;staffe;括弧;suportes;wsporniki;paranteze;วงเล็บ;الأقواس;括号;
pt;broches;pins;Stifte;clavijas;spilli;ピンズ;pinos;szpilki;știfturi;เข็มกลัด;الدبابيس;引脚;
pt;brochesse;brochesse;brochesse;brochesse;brochesse;ブローシュ;brochura;brochesse;broșură;โบรชัวร์;بروشيس;扫帚;
pt;brochesses;brochesses;brochesses;brochetas;brochesses;ブリュッセル;brochuras;broszury;broșe;เข็มกลัด;بروشيس;胸花;
pt;brossage;brushing;Bürsten;cepillado;spazzolatura;ブラッシング;escovagem;szczotkowanie;periaj;การแปรง;تنظيف الأسنان بالفرشاة;刷牙;
pt;brossages;brushing;Bürsten;cepillado;spazzolatura;ブラッシング;escovagem;szczotkowanie;periere;การแปรง;تنظيف الأسنان بالفرشاة;刷牙;
pt;bruckisme;bruxism;Bruckismus;bruckismo;bruckismo;ブルッキズム;bruckismo;bruksizm;bruckism;บรัคกิสม์;البروكية;白日梦;
pt;bruksisme;bruxism;Bruksismus;bruksismo;bruksismo;打撲症;bruxismo;bruksizm;bruxism;ภาวะนอนกัดฟัน;البروكسيسم;瘀伤;
pt;bruxissme;bruxism;bruxissme;bruxissme;bruxissme;ブルキシスム;bruxissme;bruxissme;bruxissme;ภาวะนอนกัดฟัน;بروكسيسمي;磨牙;
pt;bruxomanie;bruxism;Bruxomanie;bruxismo;bruxismo;歯軋り;bruxismo;bruksizm;bruxism;ภาวะบดฟัน;صريف الأسنان;磨牙;
pt;bruxomanies;bruxism;Bruxomanien;bruxismo;bruxismo;歯軋り;bruxismo;bruksizm;bruxism;ภาวะนอนกัดฟัน;صريف الأسنان;磨牙;
pt;ça fait mal;it hurts;das tut weh;duele;fa male;痛い;dói;to boli;doare;มันเจ็บ;يؤلم;疼;
pt;carie;caries;Karies;caries;carie;齲蝕;cárie;próchnica;carii;โพรง;تسوس الأسنان;龋齿;
pt;caries;cavities;Karies;cavidades;cavità;空洞;cavidades;ubytki;cavități;โพรงฟัน;التجاويف;蛀牙;
pt;cas urgent;urgent case;dringender Fall;caso urgente;caso urgente;急患;caso urgente;pilna sprawa;caz urgent;กรณีเร่งด่วน;الحالة العاجلة;急症;
pt;cas urgents;urgent cases;dringende Fälle;casos urgentes;casi urgenti;急患;casos urgentes;pilne przypadki;cazuri urgente;กรณีฉุกเฉิน;الحالات العاجلة;紧急案件;
pt;cavité;cavity;Hohlraum;cavidad;cavità;空洞;cavidade;wnęka;cavitate;โพรง;تجويف;空腔;
pt;cavitée;cavity;Hohlraum;cavidad;cavità;空洞;cavidade;wnęka;cavitate;โพรง;تجويف;空腔;
pt;cavitées;cavities;Höhlen;cavidades;cavità;空洞;cavidades;ubytki;cavități;โพรงฟัน;التجاويف;蛀牙;
pt;cavités;cavities;Hohlräume;cavidades;cavità;空洞;cavidades;ubytki;cavități;โพรงฟัน;التجاويف;蛀牙;
pt;cbct;cbct;cbct;cbct;cbct;cbct;cbct;cbct;cbct;ซีบีซีที;cbct;cbct;
pt;cbcte;cbcte;cbcte;cbcte;cbcte;CBCTe;cbcte;cbcte;cbcte;cbcte;سي بي سي تي سي تي إي;cbcte;
pt;cbctes;cbctes;cbctes;cbctes;cbctes;CBCTes;cbctes;cbctes;cbctes;ซีบีซีทีเอส;cbctes;cbctes;
pt;cbcts;cbcts;cbcts;cbcts;cbcts;CBCT;cbcts;cbcts;cbcts;cbcts;cbcts;cbcts;
pt;cephalo;cephalo;cephalo;céfalo;cefalo;セファロ;cefalo;cefalo;cephalo;เซฟาโล;سيفالو;头孢;
pt;cephalos;cephalos;cephalos;céfalos;cefalo;ケファロス;cefalos;cefalos;cefalos;ศีรษะ;سيفالوس;头孢;
pt;ceramic;ceramic;ceramic;cerámica;ceramica;セラミック;cerâmica;ceramika;ceramică;เซรามิก;السيراميك;陶瓷;
pt;ceramics;ceramics;ceramics;cerámica;ceramica;セラミックス;cerâmica;ceramika;ceramică;เซรามิก;السيراميك;陶瓷;
pt;ceramique;ceramics;Keramik;cerámica;ceramica;セラミックス;cerâmica;ceramika;ceramică;เซรามิก;السيراميك;陶瓷;
pt;ceramiques;ceramics;Keramiken;cerámica;ceramica;セラミックス;cerâmica;ceramika;ceramică;เซรามิก;السيراميك;陶瓷;
pt;chevauchement;overlap;Überlappung;solapamiento;sovrapposizione;オーバーラップ;sobreposição;nakładanie się;suprapunere;ทับซ้อน;التداخل;复;
pt;chevauchemente;overlaps;überlappt;se solapa;sovrapposizioni;オーバーラップ;sobreposições;pokrywa się;suprapuneri;ทับซ้อน;التداخلات;重叠;
pt;chevauchementes;overlaps;Überlappungen;se solapa;sovrapposizioni;オーバーラップ;sobreposições;pokrywa się;suprapuneri;ทับซ้อน;التداخلات;重叠;
pt;chevauchements;overlaps;Überschneidungen;se solapa;sovrapposizioni;オーバーラップ;sobreposições;pokrywa się;suprapuneri;ทับซ้อน;التداخلات;重叠;
pt;chewing;chewing;Kaugummi;masticar;masticare;咀嚼;mastigação;żucie;mestecare;การเคี้ยว;المضغ;咀嚼;
pt;chirurgie bimaxillaire;bimaxillary surgery;bimaxilläre Chirurgie;cirugía bimaxilar;chirurgia bimascellare;二重顎手術;cirurgia bimaxilar;chirurgia bimaxillary;chirurgie bimaxilară;การผ่าตัดขากรรไกรบนทั้งสองข้าง;جراحة ثنائية الخياشيم;双颌手术;
pt;chirurgie des mâchoires;jaw surgery;Kieferchirurgie;cirugía mandibular;chirurgia della mascella;顎の手術;cirurgia do maxilar;chirurgia szczękowa;operația maxilarului;การผ่าตัดขากรรไกร;جراحة الفك;颚骨手术;
pt;chirurgie mandibulaire;mandibular surgery;Unterkieferchirurgie;cirugía mandibular;chirurgia mandibolare;下顎手術;cirurgia mandibular;chirurgia żuchwy;chirurgie mandibulară;การผ่าตัดขากรรไกร;جراحة الفك السفلي;下颌角手术;
pt;chirurgie maxillaire;jaw surgery;Kieferchirurgie;cirugía mandibular;chirurgia della mascella;顎の手術;cirurgia do maxilar;chirurgia szczękowa;operația maxilarului;การผ่าตัดขากรรไกรบน;جراحة الفك;颚骨手术;
pt;chirurgie maxillo-faciale;maxillo-facial surgery;Kiefer- und Gesichtschirurgie;cirugía maxilofacial;chirurgia maxillo-facciale;顎顔面外科;cirurgia maxilo-facial;chirurgia szczękowo-twarzowa;chirurgie maxilo-facială;ศัลยกรรมช่องปากและใบหน้า;جراحة الوجه والفكين;颌面外科;
pt;chirurgie orthognathique;orthognathic surgery;orthognathische Chirurgie;cirugía ortognática;chirurgia ortognatica;顎矯正手術;cirurgia ortognática;chirurgia ortognatyczna;chirurgie ortognatică;การผ่าตัดกระดูกขากรรไกรและใบหน้า;جراحة تقويم الأسنان;正颌手术;
pt;chirurgies bimaxillaires;bimaxillary surgery;bimaxilläre Operationen;cirugía bimaxilar;chirurgia bimascellare;二重顎手術;cirurgia bimaxilar;chirurgia bimaxillary;chirurgie bimaxilară;การผ่าตัดขากรรไกรบนทั้งสองข้าง;جراحة ثنائية الخياشيم;双颌手术;
pt;chirurgies des mâchoires;jaw surgery;Kieferoperationen;cirugía mandibular;chirurgia della mascella;顎の手術;cirurgia do maxilar;chirurgia szczękowa;operația maxilarului;การผ่าตัดขากรรไกร;جراحة الفك;颚骨手术;
pt;chirurgies mandibulaires;mandibular surgery;Unterkieferoperationen;cirugía mandibular;chirurgia mandibolare;下顎手術;cirurgia mandibular;chirurgia żuchwy;chirurgie mandibulară;การผ่าตัดขากรรไกร;جراحة الفك السفلي;下颌角手术;
pt;chirurgies maxillaires;jaw surgery;Kieferchirurgien;cirugía mandibular;chirurgia della mascella;顎の手術;cirurgia do maxilar;chirurgia szczękowa;operația maxilarului;การผ่าตัดขากรรไกรบน;جراحة الفك;颚骨手术;
pt;chirurgies maxillo-faciales;maxillo-facial surgery;Kiefer- und Gesichtschirurgie;cirugía maxilofacial;chirurgia maxillo-facciale;顎顔面外科;cirurgia maxilo-facial;chirurgia szczękowo-twarzowa;chirurgie maxilo-facială;ศัลยกรรมช่องปากและใบหน้า;جراحة الوجه والفكين;颌面外科;
pt;chirurgies orthognathiques;orthognathic surgery;orthognathische Operationen;cirugía ortognática;chirurgia ortognatica;顎矯正手術;cirurgia ortognática;chirurgia ortognatyczna;chirurgie ortognatică;การผ่าตัดกระดูกขากรรไกรและใบหน้า;جراحة تقويم الأسنان;正颌手术;
pt;choisi;chosen;gewählt;elegido;scelto;選ばれた;escolhido;wybrany;ales;เลือกแล้ว;تم اختياره;选定的;
pt;choisi;chosen;gewählt;elegido;scelto;選ばれた;escolhido;wybrany;ales;เลือกแล้ว;تم اختياره;选定的;
pt;ci 2 propulseur;ci 2 thruster;ci 2 triebwerk;propulsor ci 2;Ci 2 propellente;ci 2 推進剤;propulsor ci 2;materiał pędny ci 2;propulsor ci 2;ใบพัด 2 ใบ;وقود الدفع ci 2;ci 2 推进剂;
pt;ci ii propulseur;ci ii thruster;ci ii triebwerk;propulsor ci ii;propellente ci ii;CI II 推進剤;propulsor ci ii;materiał pędny ci ii;propulsor ci ii;ซีไอ ทู เธรสเตอร์;وقود الدفع ci ii;ci ii 推进剂;
pt;cinquième;fifth;fünfte;quinto;quinto;第五;quinto;piąty;a cincea;ห้า;الخامس;第五次;
pt;cinquièmes;fifth;Fünftel;quinto;quinto;第五;quinto;piąty;a cincea;หนึ่งในห้า;الخامس;第五次;
pt;cis iis propulseurs;cis iis thrusters;cis iis triebwerke;cis iis propulsores;propulsori cis iis;CI IIs スラスター;cis iis propulseurs;cis iis propulseurs;cis iis propulseurs;ซีเอสไอไอส์ ธรัสเตอร์;رابطة الدول المستقلة;CIS IIS 推进器;
pt;cl i;class i;kl i;cl i;cl i;クリン;cl i;kl i;cl i;คลิ;س ط;挛;
pt;cl ii;class ii;kl iii;cl ii;cl ii;第二部;cl ii;kl iii;cl ii;คลอไรด์;الفصل الثاني;第ii条;
pt;cl iii;class iii;kl iii;cl iii;cl iii;クラ;cl iii;kl iii;cl iii;ซีไอ 3;الفصل الثالث;第iii条;
pt;cl. i;class i;Kl. i;cl. i;cl. i;クリン;cl. i;Kl. i;cl. i;คลิ;ط. ط;挛;
pt;cl. ii;class ii;Kl. ii;cl. ii;cl. ii;第二部;cl. ii;Kl. ii;cl. ii;คลอไรด์;الفصل الثاني;第ii项;
pt;cl. iii;class iii;Kl. iii;cl. iii;cl. iii;iii;cl. iii;Kl. iii;cl. iii;ซีไอ 3;الفصل الثالث;iii;
pt;cl.i;class i;kl.i;cl.i;cl.i;クリン;cl.i;kl.i;cl.i;คลิ;س.ط;挛;
pt;cl.ii;class ii;kl.ii;cl.ii;cl.ii;第二部;cl.ii;kl.ii;cl.ii;คลอไรด์;الفصل الثاني;第ii项;
pt;cl.iii;class iii;Kl.iii;cl.iii;cl.iii;cl.iii;cl.iii;Kl.iii;cl.iii;ซีไอ 3;الفصل الثالث;第iii项;
pt;cl1;class i;kl1;cl1;cl1;クリン;cl1;kl1;cl1;คลิ;س1;挛;
pt;cl2;class ii;kl2;cl2;cl2;第二部;cl2;kl2;cl2;คลอไรด์;س2;挛;
pt;cl3;class iii;kl3;cl3;cl3;cl3;cl3;kl3;cl3;ซีไอ 3;س3;cl3;
pt;claquement atm;atm slam;Knall atm;slam atm;slam atm;ATMスラム;slam atm;slam atm;slam atm;เสียงคลิก;صراف آلي;全速前进;
pt;claquements atms;atm clicks;Klatschen atms;portazo a los cajeros automáticos;colpisce gli atm;ATMクリック数;bate em atms;uderza w bankomaty;Slams atms;เสียงตู้เอทีเอ็มดัง;ينتقد أتومس;抨擊藥房;
pt;classe 1;class 1;Klasse 1;clase 1;classe 1;クラス1;classe 1;klasa 1;clasa 1;ชั้น 1;الفئة 1;一级;
pt;classe 1 d angle;class 1 corner;Klasse 1 Winkel;clase 1 esquina;angolo di classe 1;クラス1コーナー;canto de classe 1;Narożnik klasy 1;colț clasa 1;มุมระดับที่ 1;ركن الفئة 1;1 类角;
pt;classe 1 dangle;class 1 dangle;Klasse 1 dangle;clase 1 colgante;classe 1 penzoloni;クラス1ダングル;pendente de classe 1;Klasa 1 dangle;clasa 1 dangle;ชั้นที่ 1 มุม;تدلي الفئة 1;1 级悬饰;
pt;classe 1 d'angle;class 1 corner;Klasse 1 Ecke;clase 1 esquina;angolo di classe 1;クラス1コーナー;canto de classe 1;Narożnik klasy 1;colț clasa 1;คลาส 1 มุม;ركن الفئة 1;1 类角;
pt;classe 1 dentaire;class 1 dental;Klasse 1 zahnärztlich;dental clase 1;classe 1 dentale;クラス1デンタル;dentário de classe 1;Klasa 1 stomatologiczna;clasa 1 dentare;ฟันชั้นที่ 1;طب الأسنان من الفئة 1;一级牙科;
pt;classe 1 squelettique;class 1 skeletal;Klasse 1 skelettartig;clase 1 esquelético;classe 1 scheletrica;1級骨格;classe 1 esquelética;Klasa 1 szkieletowa;clasa 1 scheletic;โครงกระดูกชั้นที่ 1;الهيكل العظمي من الفئة 1;一级骨骼;
pt;classe 2;class 2;Klasse 2;clase 2;classe 2;クラス2;classe 2;klasa 2;clasa 2;ชั้น 2;الفئة 2;二级;
pt;classe 2 d angle;class 2 corner;Klasse 2 eckig;esquina clase 2;angolo di classe 2;クラス2コーナー;canto de classe 2;Narożnik klasy 2;colț clasa 2;มุมระดับ 2;ركن الفئة 2;2 类角;
pt;classe 2 dangle;class 2 dangle;Klasse 2 dangle;clase 2 colgante;classe 2 penzoloni;クラス2ダングル;pendente classe 2;Klasa 2 dangle;clasa 2 dangle;มุมระดับ 2;تدلي الفئة 2;2 级悬挂;
pt;classe 2 d'angle;class 2 corner;Klasse 2 Ecke;esquina clase 2;angolo di classe 2;クラス2コーナー;canto de classe 2;Narożnik klasy 2;colț clasa 2;มุม ชั้น 2;ركن الفئة 2;2 类角;
pt;classe 2 dentaire;class 2 dental;Klasse 2 zahnärztlich;dental clase 2;classe 2 dentale;クラス2デンタル;dentário classe 2;Klasa 2 stomatologiczna;clasa 2 dentare;ฟันประเภท 2;طب الأسنان من الفئة 2;二级牙科;
pt;classe 2 propulseur;class 2 thruster;Klasse 2 Propeller;propulsor clase 2;propulsore di classe 2;クラス2スラスター;propulsor de classe 2;pędnik klasy 2;propulsor clasa 2;เครื่องขับเคลื่อนระดับ 2;محرك دفع من الفئة 2;2 级推进器;
pt;classe 2 squelettique;class 2 skeletal;Klasse 2 skelettartig;clase 2 esquelético;classe 2 scheletrica;クラス2 骨格;classe 2 esquelética;Klasa 2 szkieletowa;clasa 2 scheletic;ชั้นที่ 2 โครงกระดูก;الهيكل العظمي من الفئة 2;第二类骨骼;
